n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
96,DYfzDBzE1BH,https://www.instagram.com/p/DYfzDBzE1BH/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-18,283493,26744,138,68,no
97,DaGNQA7ggQL,https://www.instagram.com/p/DaGNQA7ggQL/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-27,265734,13528,352,91,no
98,DZYgKkRFB4w,https://www.instagram.com/p/DZYgKkRFB4w/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-09,260987,18960,172,59,no
99,DYcvjH9HEIv,https://www.instagram.com/p/DYcvjH9HEIv/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-17,258500,22707,128,70,no
100,DX4rykXv0ia,https://www.instagram.com/p/DX4rykXv0ia/,"Comenta ""BERNARDO"" 👇 si quieres saber exactamente cómo lo hicimos con Bernardo para ganar +300mil seguidores en 30 días",@victorherasemprendedor,2026-05-03,243760,9242,2233,77,no
101,DavWhx6AuMO,https://www.instagram.com/p/DavWhx6AuMO/,"Comenta ""JURADO"" para darte acceso este 14 de Julio a mi clase en directo y ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-13,239422,9691,376,110,no
102,DaYPB9vkU1h,https://www.instagram.com/p/DaYPB9vkU1h/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-04,237177,12961,293,75,no
103,Db00qgzjqkA,https://www.instagram.com/p/Db00qgzjqkA/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-09,232520,4768,134,172,no
104,DZvdq8rDCJV,https://www.instagram.com/p/DZvdq8rDCJV/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-18,231142,13620,41,69,no
105,DYfUXf-jt6v,https://www.instagram.com/p/DYfUXf-jt6v/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-18,225558,14808,17,38,no
106,DZVLjrzCotG,https://www.instagram.com/p/DZVLjrzCotG/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-08,222367,14820,922,109,no
107,DYkaW5Ykggt,https://www.instagram.com/p/DYkaW5Ykggt/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-20,222235,14227,132,97,no
108,DZnT9zPAXcl,https://www.instagram.com/p/DZnT9zPAXcl/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-15,197683,5692,875,26,no
109,DYxjkxLDLQF,https://www.instagram.com/p/DYxjkxLDLQF/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-25,194018,8334,24,51,no
110,DYh5M2kjTKw,https://www.instagram.com/p/DYh5M2kjTKw/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-19,192916,12595,57,29,no
111,DZaVIiGjp_P,https://www.instagram.com/p/DZaVIiGjp_P/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-10,191070,10339,557,51,no
112,Db_R6uPkcqL,https://www.instagram.com/p/Db_R6uPkcqL/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-13,181679,6191,144,51,no
113,DaIyC3mguAz,https://www.instagram.com/p/DaIyC3mguAz/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-28,174655,4507,83,75,no
114,DZV-nuOASrw,https://www.instagram.com/p/DZV-nuOASrw/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-08,174575,19065,2579,126,no
115,DYu-4rxD-wZ,https://www.instagram.com/p/DYu-4rxD-wZ/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-24,170687,8343,49,77,no
116,DY-3GzzDnTW,https://www.instagram.com/p/DY-3GzzDnTW/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-31,154385,5792,24,21,no
117,DYaKwVrCTag,https://www.instagram.com/p/DYaKwVrCTag/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-16,152681,8606,61,43,no
118,DY3ONI-iKvF,https://www.instagram.com/p/DY3ONI-iKvF/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-28,149871,12846,32,28,no
119,DYFFRpAu0V5,https://www.instagram.com/p/DYFFRpAu0V5/,Sígueme en👉🏼 @juradonegocios . Te enseño todo sobre comunicación y oratoria para tener éxito.,@juradonegocios,2026-05-08,142348,10110,33,69,no
120,DZVXor2IQ9h,https://www.instagram.com/p/DZVXor2IQ9h/,"Sígueme aquí 👇🏼 si quieres mejorar tu comunicación y oratoria, soy Bernardo Jurado, experto en oratoria",@juradonegocios,2026-06-08,137788,6224,55,59,no
121,DXzQ7XluYpX,https://www.instagram.com/p/DXzQ7XluYpX/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-01,136124,8732,34,150,no
122,DZDlL_MDHUH,https://www.instagram.com/p/DZDlL_MDHUH/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-01,132900,5002,40,110,no
123,DYgHu1vFIAq,https://www.instagram.com/p/DYgHu1vFIAq/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-19,128948,9806,62,68,no
124,DZ8SNzPCTl_,https://www.instagram.com/p/DZ8SNzPCTl_/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-23,127974,2592,34,67,no
125,DX-JT3-CVVH,https://www.instagram.com/p/DX-JT3-CVVH/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-05,127036,7144,27,57,no
126,DXvAj-ZCPeR,https://www.instagram.com/p/DXvAj-ZCPeR/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-04-29,121841,7175,32,68,no
127,DX4hGCMurEq,https://www.instagram.com/p/DX4hGCMurEq/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-03,113734,5874,15,51,no
128,DX2wLqgiwDq,https://www.instagram.com/p/DX2wLqgiwDq/,Sígueme en @juradonegocios 👈 para mejorar tu comunicación y oratoria.  #juradogrupoeditorial #bernardojurado #juradonegocios #comunicación,@juradonegocios,2026-05-03,112115,4882,36,58,no
