n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
83,ClZbnuluqaj,https://www.instagram.com/p/ClZbnuluqaj/,"Atento crack, tienes que saber esto.",@victorherasemprendedor,2022-11-25,103585,2544,45,76,no
84,DT8ZAtKEUeJ,https://www.instagram.com/p/DT8ZAtKEUeJ/,Si quieres que te diga cómo hacerte viral según tu nicho comenta tu nicho 👇,@herasmedia,2026-01-25,101502,3192,1346,69,no
85,DTqXujXkbgy,https://www.instagram.com/p/DTqXujXkbgy/,"Si quieres que te diga cómo hacerte viral en tu nicho, comenta tu nicho👇",@herasmedia,2026-01-18,101459,2114,579,52,no
86,DSp3L_4jYfh,https://www.instagram.com/p/DSp3L_4jYfh/,Lo mejor de no pagar impuestos en España 🇪🇸,@victorherasemprendedor,2025-12-24,100103,2300,62,22,no
87,CkOpB4spaDG,https://www.instagram.com/p/CkOpB4spaDG/,Es la clave para cualquier negocio o empresa. 😉,@victorherasemprendedor,2022-10-27,99827,4733,54,67,no
88,DMnkJV-x-n6,https://www.instagram.com/p/DMnkJV-x-n6/,Comenta “CLASE” y te la envío,@herasmedia,2025-07-27,97950,2498,1378,89,no
89,DOJi6_5ESqm,https://www.instagram.com/p/DOJi6_5ESqm/,Si quieres aprender cómo puedes conseguir +100.000 seguidores con un solo video 👇🏻,@herasmedia,2025-09-03,97877,1935,1114,64,no
90,Cj3i_xqrDld,https://www.instagram.com/p/Cj3i_xqrDld/,Tengo algo importante que contarte.,@victorherasemprendedor,2022-10-18,97433,2050,587,79,no
91,DRP35ScEYSU,https://www.instagram.com/p/DRP35ScEYSU/,"Si quieres crecer tu Instagram y ganar dinero con el, comenta ""YO"" 👇",@herasmedia,2025-11-19,96014,2288,1123,63,no
92,DUWHpuskZkF,https://www.instagram.com/p/DUWHpuskZkF/,"Si quieres saber cuáles son los ganchos que tienes que utilizar para hacerte viral en tu sector, comenta ""LISTA""👇",@herasmedia,2026-02-04,95172,2617,3061,54,no
93,DWefUktRRId,https://www.instagram.com/p/DWefUktRRId/,"Si quieres ver la clase donde explico cómo puedes hacerte viral según tu nicho, comenta “CLASE”👇",@herasmedia,2026-03-29,94673,3235,2027,64,no
94,DUORTmEkRLP,https://www.instagram.com/p/DUORTmEkRLP/,"Si quieres saber el paso a paso para hacerte viral según tu nicho y según lo que vendes, comenta ""VIRAL""👇",@herasmedia,2026-02-01,94035,3700,406,97,no
95,CoX4DRWO2p7,https://www.instagram.com/p/CoX4DRWO2p7/,Depilarme el pecho me dió una gran lección 😳👇,@victorherasemprendedor,2023-02-07,94025,4156,28,78,no
96,DN3p3jq4v13,https://www.instagram.com/p/DN3p3jq4v13/,De los errores más comunes que comete la gente es hacer su contenido para su nicho.,@herasmedia,2025-08-27,93616,2652,1871,74,no
97,CnC40LWIUcL,https://www.instagram.com/p/CnC40LWIUcL/,Este video te interesará 😉,@victorherasemprendedor,2023-01-05,93452,2684,42,81,no
98,DZdBkXsR5A1,https://www.instagram.com/p/DZdBkXsR5A1/,"Si quieres aprender a hacer ideas ganadoras para tu nicho en concreto ""IDEA""👇",@herasmedia,2026-06-11,93141,3731,2118,65,no
99,DVteuVKEWGL,https://www.instagram.com/p/DVteuVKEWGL/,"Si quieres tener tu plantilla para hacerte viral y ganar 100.000 seguidores, comenta ""GUIÓN"" 👇",@herasmedia,2026-03-10,92000,1994,2494,29,no
100,Cm916p-Iv1d,https://www.instagram.com/p/Cm916p-Iv1d/,No sabes lo bomba 💣 que es este video. Míralo y déjame tu comentario.,@victorherasemprendedor,2023-01-03,91660,3783,29,81,no
101,Cqn-jU1vovV,https://www.instagram.com/p/Cqn-jU1vovV/,¿Alguna vez analizaste tu competencia?,@victorherasemprendedor,2023-04-04,91539,3584,35,59,no
102,Cs4PFQRrGLJ,https://www.instagram.com/p/Cs4PFQRrGLJ/,Habilidades blandas ¿para ganar dinero?,@victorherasemprendedor,2023-05-30,86332,2799,38,74,no
103,DWMWXBbxxTV,https://www.instagram.com/p/DWMWXBbxxTV/,"Si quieres aprender a vender y a cómo hacerte viral según tu nicho, comenta ""PLAN""👇",@herasmedia,2026-03-22,86266,3391,1155,90,no
104,DUycEmIEYEw,https://www.instagram.com/p/DUycEmIEYEw/,"Si quieres saber cómo desintoxicar tu cuenta de Instagram y generar mínimo 20.000€/Mes, comenta ""CITA""👇",@herasmedia,2026-02-15,85720,2317,267,78,no
105,CrOp3T4p9Tv,https://www.instagram.com/p/CrOp3T4p9Tv/,¿Vagin* es vez de Virginia? ¿Cuál es la estrategia detrás?,@victorherasemprendedor,2023-04-19,85694,3775,26,65,no
106,Cmzh93dI896,https://www.instagram.com/p/Cmzh93dI896/,Si haces esto puede que ganes mucho dinero 💰,@victorherasemprendedor,2022-12-30,84987,3037,22,68,no
107,DW4OVoLkUH5,https://www.instagram.com/p/DW4OVoLkUH5/,Comenta “RETO”👇 para entrar en el grupo de WhatsApp y ver cómo hago que 4 personas ganen 100.000 seguidores en 30 días,@victorherasemprendedor,2026-04-08,84607,1728,744,28,no
108,CpLYgrnPvKO,https://www.instagram.com/p/CpLYgrnPvKO/,Crear contenido que enamore a las personas no es una tarea fácil pero aquí te muestro la clave.,@victorherasemprendedor,2023-02-27,83782,3402,34,67,no
109,Cp0noQnpobQ,https://www.instagram.com/p/Cp0noQnpobQ/,"Escribe en comentarios la palabra ""LIBRO"" 📚👇",@victorherasemprendedor,2023-03-15,83048,2676,941,55,no
110,DZqADM3SXD2,https://www.instagram.com/p/DZqADM3SXD2/,Cuál creéis que es la más rara?,@victorherasemprendedor,2026-06-16,82817,1293,33,57,no
111,Cq_Inv1rrd0,https://www.instagram.com/p/Cq_Inv1rrd0/,Yo era un adicto 😨 y esta fue la solución 👇,@victorherasemprendedor,2023-04-13,82416,3378,55,58,no
112,Cmru9_KIMiW,https://www.instagram.com/p/Cmru9_KIMiW/,De mendigo a hombre exitoso. ¡Impresionante!,@victorherasemprendedor,2022-12-27,82348,3013,26,68,no
