n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,formato,transcripto
328,https://www.instagram.com/reel/DQKLbJ3kSQO/,top semanal @senseialma DQKLbJ3kSQO,instagram,@senseialma,2025-10-22,,,,reel,no
329,https://www.instagram.com/reel/DO6cRL9Dtv6/,top semanal @habitosdelsensei DO6cRL9Dtv6,instagram,@habitosdelsensei,2025-09-19,,,,reel,no
330,https://www.instagram.com/reel/DRaDK6wEUhf/,top semanal @frasesdelcalvito DRaDK6wEUhf,instagram,@frasesdelcalvito,2025-11-19,,,,reel,no
331,https://www.instagram.com/p/DNTWzz9RxX7/,top semanal @librosdelsensei DNTWzz9RxX7,instagram,@librosdelsensei,2025-08-08,,,,reel,no
332,https://vt.tiktok.com/ZSyP3LaH4,top semanal @lasprimasdelsensei ZSyP3LaH4,tiktok,@lasprimasdelsensei,2025-10-29,,,,tiktok,no
333,https://www.instagram.com/reel/DO83OwnjbgK/,top semanal @senseialma DO83OwnjbgK,instagram,@senseialma,2025-09-19,,,,reel,no
334,https://www.tiktok.com/@librosdelsensei/video/7551464009472560396,top semanal @librosdelsensei 7551464009472560396,tiktok,@librosdelsensei,2025-09-12,,,,tiktok,no
335,https://vt.tiktok.com/ZSP2SMfu8,top semanal @senseialma ZSP2SMfu8,tiktok,@senseialma,2025-12-03,,,,tiktok,no
336,https://vt.tiktok.com/ZSUKFxQVn,top semanal @senseimentalidad ZSUKFxQVn,tiktok,@senseimentalidad,2025-08-22,,,,tiktok,no
337,https://www.instagram.com/reel/DOvmG2qExmn/,top semanal @senseialma DOvmG2qExmn,instagram,@senseialma,2025-09-12,,,,reel,no
338,https://www.tiktok.com/@librosdelsensei/video/7578160247437528338,top semanal @librosdelsensei 7578160247437528338,tiktok,@librosdelsensei,2025-11-26,,,,tiktok,no
339,https://www.instagram.com/p/DM8T6Uux2rs/,top semanal cuenta sin dato DM8T6Uux2rs,instagram,SIN DATO (CM: Fabiola),2025-08-01,,,,reel,no
340,https://vt.tiktok.com/ZSyLDUkxk,top semanal @senseialma ZSyLDUkxk,tiktok,@senseialma,2025-10-22,,,,tiktok,no
341,https://www.youtube.com/shorts/iwAaRHYFTqs,top semanal @lasprimasdelsensei iwAaRHYFTqs,youtube,@lasprimasdelsensei,2025-11-05,,,,short,no
342,https://www.instagram.com/reel/DQ9hjWbjkek/,top semanal cuenta sin dato DQ9hjWbjkek,instagram,SIN DATO (CM: María),2025-11-12,,,,reel,no
343,https://www.youtube.com/shorts/QZ5ky6NSGvA,top semanal @habitosdelsensei QZ5ky6NSGvA,youtube,@habitosdelsensei,2025-08-15,,,,short,no
344,https://www.tiktok.com/@librosdelsensei/video/7574835136546721031,top semanal @librosdelsensei 7574835136546721031,tiktok,@librosdelsensei,2025-11-19,,,,tiktok,no
345,https://vt.tiktok.com/ZSynJ89QA,top semanal @habitosdelsensei ZSynJ89QA,tiktok,@habitosdelsensei,2025-11-05,,,,tiktok,no
346,https://www.instagram.com/reel/DQRyDXaEQeD/,top semanal cuenta sin dato DQRyDXaEQeD,instagram,SIN DATO (CM: Valeria),2025-10-22,,,,reel,no
347,https://www.instagram.com/p/DOgm0ngDhtX/,top semanal cuenta sin dato DOgm0ngDhtX,instagram,SIN DATO (CM: Fabiola),2025-09-12,,,,reel,no
348,https://www.instagram.com/reel/DNDzQV6TG65/,top semanal @habitosdelsensei DNDzQV6TG65,instagram,@habitosdelsensei,2025-08-01,,,,reel,no
349,https://vt.tiktok.com/ZSfNDDjXj,top semanal @habitosdelsensei ZSfNDDjXj,tiktok,@habitosdelsensei,2025-11-12,,,,tiktok,no
350,https://www.tiktok.com/@elsenseiprofe/video/7542221257798946104,top semanal @senseielprofesor 7542221257798946104,tiktok,@senseielprofesor,2025-08-22,,,,tiktok,no
351,https://www.instagram.com/p/DNGolJTsunA/,top semanal cuenta sin dato DNGolJTsunA,instagram,SIN DATO (CM: Fabiola),2025-08-08,,,,reel,no
352,https://vt.tiktok.com/ZSyLpMVMh,top semanal @frasesdelsensei ZSyLpMVMh,tiktok,@frasesdelsensei,2025-10-22,,,,tiktok,no
353,https://vt.tiktok.com/ZSUo2sLKJ,top semanal @frasesdelsensei ZSUo2sLKJ,tiktok,@frasesdelsensei,2025-09-05,,,,tiktok,no
354,https://www.instagram.com/p/DRxJL4CkSG7/,top semanal @librosdelsensei DRxJL4CkSG7,instagram,@librosdelsensei,2025-11-26,,,,reel,no
355,https://www.tiktok.com/@elsenseiprofe/video/7546309978336840965,top semanal @senseielprofesor 7546309978336840965,tiktok,@senseielprofesor,2025-08-29,,,,tiktok,no
356,https://vt.tiktok.com/ZSfuPdWbL,top semanal @habitosdelsensei ZSfuPdWbL,tiktok,@habitosdelsensei,2025-11-19,,,,tiktok,no
357,https://www.instagram.com/reel/DQW_uOskczV/,top semanal cuenta sin dato DQW_uOskczV,instagram,SIN DATO (CM: Fabiola),2025-10-22,,,,reel,no
358,https://www.instagram.com/reel/DOPcrnukzEq/,top semanal @senseialma DOPcrnukzEq,instagram,@senseialma,2025-09-05,,,,reel,no
359,https://www.instagram.com/reel/DRaHTJXiUsR/,top semanal cuenta sin dato DRaHTJXiUsR,instagram,SIN DATO (CM: María),2025-11-19,,,,reel,no
360,https://vt.tiktok.com/ZSP2S996r,top semanal @elsenseireel ZSP2S996r,tiktok,@elsenseireel,2025-12-03,,,,tiktok,no
361,https://www.youtube.com/shorts/tYrlioPedjc,top semanal @elsenseireel tYrlioPedjc,youtube,@elsenseireel,2025-12-03,,,,short,no
362,https://www.instagram.com/reel/DPUA2kujj0h/,top semanal cuenta sin dato DPUA2kujj0h,instagram,SIN DATO (CM: Valeria),2025-09-26,,,,reel,no
363,https://www.youtube.com/shorts/uR0OO_RrfxI,top semanal @habitosdelsensei uR0OO_RrfxI,youtube,@habitosdelsensei,2025-08-22,,,,short,no
364,https://www.youtube.com/shorts/anD3avLTt0k,top semanal @habitosdelsensei anD3avLTt0k,youtube,@habitosdelsensei,2025-10-16,,,,short,no
365,https://www.instagram.com/reel/DM_1GthhJdM/,top semanal cuenta sin dato DM_1GthhJdM,instagram,SIN DATO (CM: María),2025-08-01,,,,reel,no
366,https://vt.tiktok.com/ZSUMvGXTH,top semanal @alestilodelsensei ZSUMvGXTH,tiktok,@alestilodelsensei,2025-09-26,,,,tiktok,no
367,https://www.youtube.com/shorts/AI8pFN0m3E0,top semanal @relojesdelsensei AI8pFN0m3E0,youtube,@relojesdelsensei,2025-10-02,,,,short,no
368,https://vt.tiktok.com/ZSUMG2fSD,top semanal @frasesdelsensei ZSUMG2fSD,tiktok,@frasesdelsensei,2025-09-26,,,,tiktok,no
369,https://www.instagram.com/p/DNYrjk7BMrS/,top semanal cuenta sin dato DNYrjk7BMrS,instagram,SIN DATO (CM: Fabiola),2025-08-15,,,,reel,no
370,https://www.youtube.com/shorts/AXc31W5zS7I,top semanal @habitosdelsensei AXc31W5zS7I,youtube,@habitosdelsensei,2025-08-08,,,,short,no
371,https://vt.tiktok.com/ZSfWgLh4a,top semanal @habitosdelsensei ZSfWgLh4a,tiktok,@habitosdelsensei,2025-11-26,,,,tiktok,no
372,https://www.tiktok.com/@librosdelsensei/video/7552578385730391308,top semanal @librosdelsensei 7552578385730391308,tiktok,@librosdelsensei,2025-09-19,,,,tiktok,no
373,https://www.youtube.com/shorts/u-cinXOL8uQ,top semanal @habitosdelsensei u-cinXOL8uQ,youtube,@habitosdelsensei,2025-11-26,,,,short,no
374,https://www.instagram.com/reel/DRaCGhfkXF3/,top semanal cuenta sin dato DRaCGhfkXF3,instagram,SIN DATO (CM: Fabiola),2025-11-19,,,,reel,no
375,https://www.youtube.com/shorts/aaObBgutTcw,top semanal @elsenseireel aaObBgutTcw,youtube,@elsenseireel,2025-11-26,,,,short,no
376,https://www.instagram.com/p/DNtMpc62j7d/,top semanal cuenta sin dato DNtMpc62j7d,instagram,SIN DATO (CM: Fabiola),2025-08-22,,,,reel,no
377,https://www.youtube.com/shorts/jYwwD7pXffg,top semanal @elrealsensei jYwwD7pXffg,youtube,@elrealsensei,2025-11-12,,,,short,no
378,https://vm.tiktok.com/ZMA9vWrTD,top semanal @Lavozdelsensei ZMA9vWrTD,tiktok,@Lavozdelsensei,2025-10-02,,,,tiktok,no
379,https://www.instagram.com/p/DQ18hpLkb56/,top semanal cuenta sin dato DQ18hpLkb56,instagram,SIN DATO (CM: Fabiola),2025-11-05,,,,reel,no
380,https://vt.tiktok.com/ZSUo6Erxn,top semanal @frasesdelsensei ZSUo6Erxn,tiktok,@frasesdelsensei,2025-09-12,,,,tiktok,no
381,https://www.youtube.com/shorts/Zigt07nLphI,top semanal @senseielcoach Zigt07nLphI,youtube,@senseielcoach,2025-11-19,,,,short,no
382,https://vt.tiktok.com/ZSUKLYqwd,top semanal @senseimentalidad ZSUKLYqwd,tiktok,@senseimentalidad,2025-08-29,,,,tiktok,no
383,https://www.youtube.com/shorts/TG88hRdKRzc,top semanal @habitosdelsensei TG88hRdKRzc,youtube,@habitosdelsensei,2025-09-05,,,,short,no
384,https://www.tiktok.com/@senseisinpelo_/video/7538857396794330373,top semanal @senseisinpelo 7538857396794330373,tiktok,@senseisinpelo,2025-08-15,,,,tiktok,no
385,https://www.youtube.com/shorts/VUaHwRDI9Hs,top semanal @habitosdelsensei VUaHwRDI9Hs,youtube,@habitosdelsensei,2025-12-03,,,,short,no
386,https://www.tiktok.com/@librosdelsensei/video/7556285718063009080,top semanal @librosdelsensei 7556285718063009080,tiktok,@librosdelsensei,2025-09-26,,,,tiktok,no
387,https://www.youtube.com/shorts/wld4IY_ODU0,top semanal @relojesdelsensei wld4IY_ODU0,youtube,@relojesdelsensei,2025-10-09,,,,short,no
388,https://www.instagram.com/p/DQewCu3kXs-/,top semanal cuenta sin dato DQewCu3kXs-,instagram,SIN DATO (CM: Fabiola),2025-10-29,,,,reel,no
389,https://www.youtube.com/shorts/CorSrLC3DgY,top semanal @senseialma CorSrLC3DgY,youtube,@senseialma,2025-08-08,,,,short,no
390,https://vt.tiktok.com/ZSfmSH87K,top semanal @frasesdelsensei ZSfmSH87K,tiktok,@frasesdelsensei,2025-11-19,,,,tiktok,no
391,https://vt.tiktok.com/ZSytv6AGH,top semanal @frasesdelsensei ZSytv6AGH,tiktok,@frasesdelsensei,2025-11-05,,,,tiktok,no
392,https://www.instagram.com/p/DOjHy9pjaxo/,top semanal cuenta sin dato DOjHy9pjaxo,instagram,SIN DATO (CM: Fabiola),2025-09-12,,,,reel,no
393,https://vt.tiktok.com/ZSUoMrJTo,top semanal @frasesdelsensei ZSUoMrJTo,tiktok,@frasesdelsensei,2025-09-19,,,,tiktok,no
394,https://www.instagram.com/reel/DPmJs22Dh9I/,top semanal cuenta sin dato DPmJs22Dh9I,instagram,SIN DATO (CM: Valeria),2025-10-09,,,,reel,no
395,https://www.instagram.com/reel/DQhQh8lEVmd/,top semanal cuenta sin dato DQhQh8lEVmd,instagram,SIN DATO (CM: Valeria),2025-10-29,,,,reel,no
396,https://vt.tiktok.com/ZSfNAsGF2,top semanal @lasprimasdelsensei ZSfNAsGF2,tiktok,@lasprimasdelsensei,2025-11-12,,,,tiktok,no
397,https://www.youtube.com/shorts/O5yXKlgO93I,top semanal @carrosdelsensei O5yXKlgO93I,youtube,@carrosdelsensei,2025-08-29,,,,short,no
