n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
84,DbrGF14x2EU,https://www.instagram.com/p/DbrGF14x2EU/,#elsensei #senseiprofe,@librosdelsensei,2026-08-05,5148,152,3,62,no
85,DbOu5sFxRS-,https://www.instagram.com/p/DbOu5sFxRS-/,#elsensei #senseiprofe,@librosdelsensei,2026-07-25,5091,136,4,49,no
86,DbGPkufRM1a,https://www.instagram.com/p/DbGPkufRM1a/,#elsensei #senseiprofe,@librosdelsensei,2026-07-22,4873,193,4,31,no
87,DZC52txRNP2,https://www.instagram.com/p/DZC52txRNP2/,Comenta 👇🏻 “Clase”,@librosdelsensei,2026-06-01,4327,155,11,82,no
88,DaYLsz7RA_G,https://www.instagram.com/p/DaYLsz7RA_G/,#elsensei #senseiprofe,@librosdelsensei,2026-07-04,4218,88,1,64,no
89,Db6EBSVRndG,https://www.instagram.com/p/Db6EBSVRndG/,#elsensei #senseiprofe,@librosdelsensei,2026-08-11,3106,141,3,50,no
90,Db_EtXCRCpg,https://www.instagram.com/p/Db_EtXCRCpg/,#elsensei #senseiprofe,@librosdelsensei,2026-08-13,1607,45,1,48,no
91,Db3ezkFxA41,https://www.instagram.com/p/Db3ezkFxA41/,#elsensei #senseiprofe,@librosdelsensei,2026-08-10,1492,40,2,28,no
92,Db3kfPTxIA-,https://www.instagram.com/p/Db3kfPTxIA-/,#elsensei #senseiprofe,@librosdelsensei,2026-08-10,645,22,0,28,no
93,Db3hne0xZ69,https://www.instagram.com/p/Db3hne0xZ69/,#elsensei #senseiprofe,@librosdelsensei,2026-08-10,568,25,0,28,no
94,Db3cdLcxFGv,https://www.instagram.com/p/Db3cdLcxFGv/,#elsensei #senseiprofe,@librosdelsensei,2026-08-10,490,13,0,28,no
95,Db3vVP6RNHj,https://www.instagram.com/p/Db3vVP6RNHj/,#elsensei #senseiprofe,@librosdelsensei,2026-08-10,388,15,0,28,no
