n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,duracion_seg,formato,transcripto
113,https://www.youtube.com/shorts/DFvRMbX5TEs,"¿Todos en este planeta 🌎 van a ser Jefes? ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
114,https://www.youtube.com/shorts/oPvrhQSJ8wU,"¿Que estás haciendo para cambiar tu realidad? ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
115,https://www.youtube.com/shorts/J5koGUUxd7I,"😬¿Gana un UBER $2,000 la semana? ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
116,https://www.youtube.com/shorts/EP2bgJcsU8M,"4 tipos de personas en las redes sociales ¿cual eres tú? ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
117,https://www.youtube.com/shorts/W7qPUH-yKOE,"¿Es la universidad necesaria? ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
118,https://www.youtube.com/shorts/VpCr4p4wDwY,"Toma acción y no le pares al que dirán ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
119,https://www.youtube.com/shorts/NJHoLpzP_nY,"Tu red social debe estar 🔓 ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
120,https://www.youtube.com/shorts/SkGt89_BUa8,"Te guste o no el contenido que consumes te identifica. ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
121,https://www.youtube.com/shorts/z0GkgPBUKMM,"4 de mayo de 2023",youtube,@Gocholive,SIN DATO,298,SIN DATO,SIN DATO,SIN DATO,short,no
122,https://www.youtube.com/shorts/BckYqQSWtvM,"¿Te avergüenza lo qué haces? Empieza por tener Amor propio #motivacion #inmigracion",youtube,@Gocholive,SIN DATO,321,SIN DATO,SIN DATO,SIN DATO,short,no
123,https://www.youtube.com/shorts/Y0CET5u_2QE,"¿Cual es tu plan? No debe ser perfecto pero debes tener uno ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
124,https://www.youtube.com/shorts/Wtf3Ya79kuY,"¿Conoces alguna? Es de Energías pero pocos entenderán el 95% del 🌎 sigue dormido #motivacion",youtube,@Gocholive,SIN DATO,521,SIN DATO,SIN DATO,SIN DATO,short,no
125,https://www.youtube.com/shorts/z0jUEaPniis,"22 de abril de 2023",youtube,@Gocholive,SIN DATO,201,SIN DATO,SIN DATO,SIN DATO,short,no
126,https://www.youtube.com/shorts/mivOBS208Ck,"18 de abril de 2023",youtube,@Gocholive,SIN DATO,479,SIN DATO,SIN DATO,SIN DATO,short,no
127,https://www.youtube.com/shorts/hKeiTTiH6Vo,"Construyendo o sobreviviendo? ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
128,https://www.youtube.com/shorts/LvS4NUBB4rE,"Ya entendió por que el hijo de Mark Zuckerber, Bill Gates y Steve Jobs no podían usar dispositivos",youtube,@Gocholive,SIN DATO,120,SIN DATO,SIN DATO,SIN DATO,short,no
129,https://www.youtube.com/shorts/5JWQpJOaOyw,"Necesitamos un mundo 🌍 con hombres de verdad es decir proveedores, dirían en mi pueblo con 🎱 ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
130,https://www.youtube.com/shorts/VIoDwoPCMik,"Nos quieren dormidos. La doble moral. #motivacion #frases #gocholive #mexico",youtube,@Gocholive,SIN DATO,230,SIN DATO,SIN DATO,SIN DATO,short,no
131,https://www.youtube.com/shorts/alsKRFSl7Uc,"Las pérdidas son parte del negocio entiéndelo. #argentina #mexico #venezuela #motivacion",youtube,@Gocholive,SIN DATO,96,SIN DATO,SIN DATO,SIN DATO,short,no
132,https://www.youtube.com/shorts/yBkV8FhU_UM,"Cuenta tu historia ",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,0,short,no
133,https://www.youtube.com/shorts/uvS1Lak77mU,"3 de marzo de 2023",youtube,@Gocholive,SIN DATO,281,SIN DATO,SIN DATO,SIN DATO,short,no
